freq make,freq address,freq all,freq 3d,freq our,freq over,freq remove,freq internet,freq order,freq mail,freq receive,freq will,freq people,freq report,freq addresses,freq free,freq business,freq email,freq you,freq credit,freq your,freq font,freq 000,freq money,freq hp,freq hpl,freq george,freq 650,freq lab,freq labs,freq telnet,freq 857,freq data,freq 415,freq 85,freq technology,freq 1999,freq parts,freq pm,freq direct,freq cs,freq meeting,freq original,freq project,freq re,freq edu,freq table,freq conference,freq semicolon,freq open parens,freq open square bracket,freq exclamation,freq dollar,freq pound,cap run length average,cap run length longest,cap run length total,IsSpam
Zero,Med,Med,Zero,Med,Zero,Zero,Zero,Zero,Zero,Zero,Med,Zero,Zero,Zero,Med,Zero,High,Med,Zero,Med,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,High,Zero,Zero,D,F,D,1
Med,Med,Med,Zero,Low,Med,Med,Low,Zero,Med,Med,Med,High,Med,Low,Low,Low,Low,High,Zero,Med,Zero,Med,Med,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Low,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Med,Zero,Med,Med,Med,F,F,F,1
Low,Zero,Med,Zero,High,Med,Low,Low,Med,Low,Med,Low,Low,Zero,High,Low,Low,Med,Med,Med,Low,Zero,High,Low,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Low,Zero,Zero,Low,Zero,Low,Low,Zero,Zero,Low,Med,Zero,Med,Med,Low,F,F,F,1
Zero,Zero,Zero,Zero,Med,Zero,Med,Med,Med,Med,Med,Low,Med,Zero,Zero,Med,Zero,Zero,Med,Zero,Low,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Med,Zero,Med,Zero,Zero,D,D,D,1
Zero,Zero,Zero,Zero,Med,Zero,Med,Med,Med,Med,Med,Low,Med,Zero,Zero,Med,Zero,Zero,Med,Zero,Low,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Med,Zero,Med,Zero,Zero,D,D,D,1
Zero,Zero,Zero,Zero,High,Zero,Zero,High,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Med,Zero,Zero,Zero,Zero,D,C,B,1
Zero,Zero,Zero,Zero,High,Zero,Zero,Zero,Zero,Med,High,Med,Zero,Zero,Zero,Med,Zero,Med,High,Zero,Low,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Low,Zero,Med,Low,Zero,B,A,C,1
Zero,Zero,Zero,Zero,High,Zero,Zero,High,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Med,Zero,Zero,Zero,Zero,C,B,B,1
Med,Zero,Med,Zero,Med,Zero,Med,Zero,High,Med,High,Med,Zero,Zero,Zero,Zero,Zero,Low,Med,High,High,Zero,Zero,Low,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Low,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Med,Zero,Zero,Zero,Zero,Zero,Zero,Med,Zero,Med,Med,Low,F,F,F,1
Low,Low,Med,Zero,Low,Med,Med,Zero,Low,Zero,Zero,Med,Med,Zero,Low,Zero,Zero,Low,Med,Low,Med,Zero,Low,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Low,Zero,Zero,Zero,Zero,Med,Low,Zero,Med,Med,Zero,B,D,F,1
Zero,Zero,Zero,Zero,Zero,Zero,High,Zero,Zero,High,High,Zero,Zero,Zero,Zero,Zero,Zero,Med,High,Zero,Med,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,High,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Med,Zero,Zero,A,B,A,1
Zero,Zero,Low,Zero,Med,Med,Med,Zero,Zero,Zero,Low,Low,Low,Zero,Zero,Zero,Zero,Zero,Low,Zero,Med,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Low,Low,Zero,High,Zero,Zero,A,B,D,1
